City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Faanui,PF,79.03,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Hilo,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Buala,SB,78.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
17,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Lorengau,PG,80.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
29,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
32,Jingdezhen,CN,76.93,light rain,29.2947,117.2079,Garden Hotel
33,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
37,Kahului,US,84.94,light rain,20.8947,-156.47,Maui Seaside Hotel
43,Jamestown,US,81.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
49,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
50,Sibolga,ID,77.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
51,Kieta,PG,78.13,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
54,Albany,US,81.81,broken clouds,42.6001,-73.9662,
56,San Policarpo,PH,79.72,overcast clouds,12.1791,125.5072,JM Lodge
63,Erzin,TR,83.12,scattered clouds,36.9559,36.2,Artemis Otel
64,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
65,Mangrol,IN,81.45,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
66,Westport,US,82.71,overcast clouds,41.1415,-73.3579,The Westport Inn
73,Butaritari,KI,83.98,few clouds,3.0707,172.7902,Isles Sunset Lodge
74,Ucluelet,CA,83.05,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
76,Yarmouth,US,75.96,overcast clouds,41.7057,-70.2286,Blue Rock Resort
80,Torbay,CA,78.89,broken clouds,47.6666,-52.7314,Gallows Cove
82,Sabang,ID,83.41,overcast clouds,5.8933,95.3214,Hotel Citra
85,Pizarro,CO,82.74,light rain,4.9533,-77.366,Hotel Limonar
87,Sangueya,GN,75.18,overcast clouds,10.7,-14.3667,
90,Rangapara,IN,80.33,overcast clouds,26.8167,92.65,Bidhan
100,Hithadhoo,MV,80.65,heavy intensity rain,-0.6,73.0833,Scoop Guest House
103,Fortuna,US,79.41,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
110,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
113,Fairbanks,US,77.49,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
118,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
119,Marsh Harbour,BS,84.54,broken clouds,26.5412,-77.0636,Abaco Beach Resort
124,Cacule,BR,77.29,overcast clouds,-14.5033,-42.2222,Radar Palace Hotel
127,Sinnamary,GF,81.5,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
129,Arkhipo-Osipovka,RU,77.02,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
131,Gunjur,GM,82.47,broken clouds,13.2019,-16.7339,Kuba Lodge
133,Shenjiamen,CN,79.32,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
134,Sirpur,IN,77.58,overcast clouds,19.4833,79.6,Sathyamma Hotel
143,Sarangani,PH,83.75,overcast clouds,5.4033,125.4636,Ballistic Islet
147,Samarai,PG,77.34,overcast clouds,-10.6167,150.6667,Nuli Sapi
149,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
150,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
151,Paracuru,BR,84.22,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
152,Asau,RO,76.28,light rain,46.4333,26.4,Casa Mika Ciobanus
153,Kutum,SD,79.5,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
154,Saint Anthony,US,84.88,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
155,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
158,Dwarka,IN,81.43,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
164,Ponta Do Sol,PT,75.7,scattered clouds,32.6667,-17.1,Hotel do Campo
166,Meulaboh,ID,76.62,overcast clouds,4.1363,96.1285,Kost Pria
168,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
171,Brindisi,IT,82.44,overcast clouds,40.5833,17.6667,Agriturismo Tibitone
172,Sao Filipe,CV,78.8,overcast clouds,14.8961,-24.4956,Hotel Xaguate
176,Tarsus,TR,84.07,few clouds,36.9188,34.8784,Osmanli Marco Pasha Hotel
178,Pirassununga,BR,76.66,clear sky,-21.9961,-47.4258,Hotel Premium Pirassununga
180,Praia Da Vitoria,PT,80.85,scattered clouds,38.7333,-27.0667,Hotel Branco I
182,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
187,Guerrero Negro,MX,82.27,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
189,Shimoda,JP,77.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
190,Kisanga,TZ,75.69,overcast clouds,-7.4362,37.7034,
193,Arawa,PG,75.83,overcast clouds,-6.2132,155.5367,Coastline Guest House
200,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
207,Baijiantan,CN,75.13,clear sky,45.6333,85.1833,
211,Sola,VU,77.83,scattered clouds,-13.8833,167.55,Leumerus Bungalows
212,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
213,Nabire,ID,75.04,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
223,Yining,CN,77.2,scattered clouds,29.0361,114.5636,Xiushui Hotel
225,Bonavista,CA,80.6,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
226,Eydhafushi,MV,82.56,overcast clouds,5.1033,73.0708,Soneva Fushi
228,Vanimo,PG,76.03,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
232,Senahu,GT,80.46,overcast clouds,15.4,-89.8333,"Casserio Se'soch, Senahuq A.V"
233,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
243,Akyab,MM,80.29,moderate rain,20.15,92.9,Hotel Memory
246,Katsuura,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
248,Tura,IN,75.99,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
250,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
252,Namatanai,PG,78.06,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
256,Amapa,BR,76.15,overcast clouds,1.0,-52.0,
261,Galle,LK,79.18,overcast clouds,6.0367,80.217,Amangalla
264,Takoradi,GH,76.57,overcast clouds,4.8845,-1.7554,Raybow International Hotel
266,Acarau,BR,82.47,broken clouds,-2.8856,-40.12,castelo pizzaria
267,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
268,Barbastro,ES,83.07,clear sky,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
269,Luwuk,ID,77.09,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
274,Sussex,US,82.81,broken clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
278,Dawei,MM,76.78,overcast clouds,14.0833,98.2,Hotel Dawei
280,Bay Roberts,CA,79.66,scattered clouds,47.5999,-53.2648,Stonewall Inn
282,Chapais,CA,80.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
283,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
284,Soritor,PE,82.76,clear sky,-6.1392,-77.1039,Casa Hospedaje El Porton
285,Victoria,HK,84.16,moderate rain,22.2855,114.1577,Mini Hotel Central
286,Hasaki,JP,77.4,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
288,Caramay,PH,79.74,overcast clouds,10.1815,119.236,Peace and Love Beach Club
289,Kula,TR,78.67,clear sky,38.5473,28.6498,Anemon Kula Hotel
290,Pacific Grove,US,83.16,broken clouds,36.6177,-121.9166,Lovers Point Inn
298,Akdepe,TM,82.4,clear sky,42.0551,59.3788,Мой дом
300,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
308,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
309,Korla,CN,81.72,overcast clouds,41.7597,86.1469,Gulisitan Hotel
312,Manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
316,Marsa Matruh,EG,82.78,clear sky,31.3525,27.2453,Beau Site
