City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Terrace,CA,54.5163,-128.6035,66.11,77,75,21.85,light rain
1,Zabid,YE,14.1951,43.3152,87.51,51,100,13.27,overcast clouds
2,Faanui,PF,-16.4833,-151.75,79.03,70,24,10.29,few clouds
3,Kapaa,US,22.0752,-159.319,82.72,75,90,5.01,light rain
4,Khatanga,RU,71.9667,102.5,57.31,45,57,9.42,broken clouds
5,Russell,US,32.3502,-85.1999,88.79,59,75,4.61,broken clouds
6,Lorain,US,41.3334,-82.1499,85.19,43,1,4.61,clear sky
7,Bluff,NZ,-46.6,168.3333,38.8,86,74,7.2,broken clouds
8,Kovdor,RU,67.5662,30.4758,51.98,75,100,5.37,overcast clouds
9,Hilo,US,19.7297,-155.09,80.8,81,90,5.75,light rain
10,Saint-Philippe,RE,-21.3585,55.7679,65.79,81,43,11.16,light rain
11,Buala,SB,-8.145,159.5921,78.6,81,93,8.43,light rain
12,Yulara,AU,-25.2406,130.9889,42.64,61,0,5.75,clear sky
13,Bougouni,ML,11.417,-7.479,74.98,88,100,5.88,light rain
14,Punta Arenas,CL,-53.15,-70.9167,44.71,61,0,26.46,clear sky
15,Houston,US,29.7633,-95.3633,88.52,74,20,3.0,few clouds
16,Ushuaia,AR,-54.8,-68.3,49.62,75,75,36.82,light rain
17,Touros,BR,-5.1989,-35.4608,79.7,73,46,17.81,scattered clouds
18,Saint-Pierre,RE,-21.3393,55.4781,65.88,71,40,5.75,scattered clouds
19,Nadym,RU,65.5333,72.5167,68.34,60,92,4.79,overcast clouds
20,Klaksvik,FO,62.2266,-6.589,54.52,95,100,7.49,overcast clouds
21,Caucaia,BR,-3.7361,-38.6531,85.06,66,20,13.8,few clouds
22,Lorengau,PG,-2.0226,147.2712,80.01,82,100,7.02,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,38.48,98,19,2.55,few clouds
24,Provideniya,RU,64.3833,-173.3,50.11,71,0,8.95,clear sky
25,Rikitea,PF,-23.1203,-134.9692,73.92,75,29,18.16,scattered clouds
26,Acapulco,MX,16.8634,-99.8901,87.62,70,75,5.75,broken clouds
27,Busselton,AU,-33.65,115.3333,50.59,82,0,6.11,clear sky
28,Cabedelo,BR,-6.9811,-34.8339,77.67,81,24,17.63,few clouds
29,Georgetown,MY,5.4112,100.3354,81.9,89,20,2.3,few clouds
30,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,40,6.91,scattered clouds
31,Sambava,MG,-14.2667,50.1667,69.94,84,99,15.12,light rain
32,Jingdezhen,CN,29.2947,117.2079,76.93,90,27,4.72,light rain
33,Atuona,PF,-9.8,-139.0333,77.88,75,36,15.9,light rain
34,Merrill,US,45.1805,-89.6835,74.97,78,90,9.22,drizzle
35,Vaini,TO,-21.2,-175.2,69.96,88,75,1.14,broken clouds
36,Killybegs,IE,54.6333,-8.45,60.46,93,99,1.41,overcast clouds
37,Kahului,US,20.8947,-156.47,84.94,69,40,21.85,light rain
38,Cape Town,ZA,-33.9258,18.4232,58.08,82,0,1.99,clear sky
39,Hermanus,ZA,-34.4187,19.2345,55.9,89,1,10.09,clear sky
40,Gamba,GA,-2.65,10.0,73.9,87,14,6.91,few clouds
41,Tuatapere,NZ,-46.1333,167.6833,38.82,91,29,3.42,scattered clouds
42,Ihosy,MG,-22.4,46.1167,55.94,87,0,9.01,clear sky
43,Jamestown,US,42.097,-79.2353,81.3,48,75,3.0,broken clouds
44,Roald,NO,62.5833,6.1333,59.32,72,0,11.5,clear sky
45,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,75,9.22,light rain
46,Opuwo,NA,-18.0607,13.84,65.12,25,4,1.92,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,14.97,scattered clouds
48,Sao Joaquim,BR,-28.2939,-49.9317,51.71,76,99,5.19,overcast clouds
49,Pontianak,ID,-0.0333,109.3333,75.18,94,40,2.3,scattered clouds
50,Sibolga,ID,1.7427,98.7792,77.32,85,100,2.8,overcast clouds
51,Kieta,PG,-6.2167,155.6333,78.13,85,99,8.72,overcast clouds
52,Port Hueneme,US,34.1478,-119.1951,105.62,59,1,12.66,clear sky
53,Tasiilaq,GL,65.6145,-37.6368,51.96,76,24,2.19,few clouds
54,Albany,US,42.6001,-73.9662,81.81,59,67,2.62,broken clouds
55,Yellowknife,CA,62.456,-114.3525,64.33,63,75,1.01,broken clouds
56,San Policarpo,PH,12.1791,125.5072,79.72,81,96,7.16,overcast clouds
57,Atherton,GB,53.5237,-2.4935,61.45,92,100,4.0,overcast clouds
58,Bredasdorp,ZA,-34.5322,20.0403,51.28,97,40,2.59,scattered clouds
59,Hobart,AU,-42.8794,147.3294,54.05,59,40,3.0,scattered clouds
60,Adrar,MR,20.5022,-10.0711,98.62,13,5,13.8,clear sky
61,Castro,BR,-24.7911,-50.0119,59.02,70,100,7.43,overcast clouds
62,Kaitangata,NZ,-46.2817,169.8464,43.93,87,71,4.99,broken clouds
63,Erzin,TR,36.9559,36.2,83.12,68,33,0.29,scattered clouds
64,Avarua,CK,-21.2078,-159.775,77.05,65,57,3.44,broken clouds
65,Mangrol,IN,21.1167,70.1167,81.45,81,100,16.02,overcast clouds
66,Westport,US,41.1415,-73.3579,82.71,80,90,1.01,overcast clouds
67,Batemans Bay,AU,-35.7167,150.1833,40.91,79,0,5.21,clear sky
68,Orzhytsya,UA,49.7918,32.7012,70.2,71,82,8.41,broken clouds
69,Mayo,US,38.8876,-76.5119,90.86,52,0,4.0,clear sky
70,Chokurdakh,RU,70.6333,147.9167,36.63,86,100,10.71,overcast clouds
71,Lebu,CL,-37.6167,-73.65,55.4,73,100,13.24,overcast clouds
72,Menongue,AO,-14.6585,17.691,58.41,27,0,5.1,clear sky
73,Butaritari,KI,3.0707,172.7902,83.98,61,12,10.76,few clouds
74,Ucluelet,CA,48.9329,-125.5528,83.05,86,100,1.99,overcast clouds
75,Vestmannaeyjar,IS,63.4427,-20.2734,56.41,79,24,6.11,few clouds
76,Yarmouth,US,41.7057,-70.2286,75.96,92,90,5.99,overcast clouds
77,Nouadhibou,MR,20.931,-17.0347,71.58,83,6,20.71,clear sky
78,East London,ZA,-33.0153,27.9116,66.02,85,86,3.96,overcast clouds
79,Iqaluit,CA,63.7506,-68.5145,44.33,81,90,5.01,shower rain
80,Torbay,CA,47.6666,-52.7314,78.89,41,75,14.97,broken clouds
81,Mayumba,GA,-3.432,10.6554,73.6,90,75,7.4,broken clouds
82,Sabang,ID,5.8933,95.3214,83.41,74,99,21.0,overcast clouds
83,Huntsville,US,34.7304,-86.5861,88.77,61,40,1.99,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,82,75,12.66,broken clouds
85,Pizarro,CO,4.9533,-77.366,82.74,74,42,9.31,light rain
86,Chuy,UY,-33.6971,-53.4616,60.51,82,93,9.08,overcast clouds
87,Sangueya,GN,10.7,-14.3667,75.18,94,100,5.28,overcast clouds
88,Barrow,US,71.2906,-156.7887,41.02,90,90,17.27,overcast clouds
89,Upernavik,GL,72.7868,-56.1549,45.18,64,0,7.38,clear sky
90,Rangapara,IN,26.8167,92.65,80.33,88,99,3.36,overcast clouds
91,Luderitz,NA,-26.6481,15.1594,57.33,73,22,3.67,few clouds
92,Ouango,CF,4.3133,22.5552,71.74,97,78,2.89,light rain
93,Saint-Louis,SN,16.3333,-15.0,93.9,31,4,10.04,clear sky
94,Lillooet,CA,50.6856,-121.942,93.92,21,100,5.61,overcast clouds
95,Dikson,RU,73.5069,80.5464,50.83,87,0,2.46,clear sky
96,Isangel,VU,-19.55,169.2667,69.91,94,80,11.5,broken clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,57.09,28,90,4.0,overcast clouds
98,Belaya Gora,RU,68.5333,146.4167,40.55,86,100,4.07,overcast clouds
99,Khuzdar,PK,27.7384,66.6434,85.35,13,0,6.02,clear sky
100,Hithadhoo,MV,-0.6,73.0833,80.65,78,99,6.98,heavy intensity rain
101,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,14.97,scattered clouds
102,Calais,FR,50.9167,1.8333,65.01,82,86,17.4,moderate rain
103,Fortuna,US,40.5982,-124.1573,79.41,67,75,1.01,broken clouds
104,Aklavik,CA,68.2191,-135.0107,70.52,52,40,9.22,haze
105,Belyy Yar,RU,53.6039,91.3903,53.49,94,100,0.0,overcast clouds
106,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,13.8,thunderstorm
107,Athabasca,CA,54.7169,-113.2854,85.69,21,60,3.74,broken clouds
108,Acari,PE,-15.4311,-74.6158,73.49,58,15,8.57,few clouds
109,Shakawe,BW,-18.3667,21.85,60.57,27,0,4.05,clear sky
110,Kloulklubed,PW,7.0419,134.2556,75.7,68,91,0.43,overcast clouds
111,Nhulunbuy,AU,-12.2333,136.7667,74.01,56,65,13.8,broken clouds
112,Amurzet,RU,47.6967,131.0981,67.26,98,100,6.31,overcast clouds
113,Fairbanks,US,64.8378,-147.7164,77.49,53,1,5.75,smoke
114,Severo-Kurilsk,RU,50.6789,156.125,53.6,83,26,19.28,scattered clouds
115,Kruisfontein,ZA,-34.0033,24.7314,55.89,98,100,1.07,light rain
116,Narsaq,GL,60.9167,-46.05,53.82,85,100,6.04,light rain
117,Nevelsk,RU,46.6733,141.8633,63.03,94,100,7.96,overcast clouds
118,Maceio,BR,-9.6658,-35.7353,76.44,78,75,8.05,broken clouds
119,Marsh Harbour,BS,26.5412,-77.0636,84.54,73,71,14.27,broken clouds
120,Saldanha,ZA,-33.0117,17.9442,56.43,88,0,3.51,clear sky
121,Dillon,US,34.4166,-79.3712,88.25,50,56,6.51,broken clouds
122,Urumqi,CN,43.801,87.6005,67.15,56,0,6.71,clear sky
123,Czestochowa,PL,50.7965,19.1241,60.08,98,100,10.71,light rain
124,Cacule,BR,-14.5033,-42.2222,77.29,39,100,12.03,overcast clouds
125,Hamilton,US,39.1834,-84.5333,87.22,49,40,5.75,scattered clouds
126,New Norfolk,AU,-42.7826,147.0587,53.71,63,100,7.0,overcast clouds
127,Sinnamary,GF,5.3833,-52.95,81.5,81,44,5.39,scattered clouds
128,Merauke,ID,-8.4667,140.3333,73.87,86,96,9.82,overcast clouds
129,Arkhipo-Osipovka,RU,44.37,38.52,77.02,62,0,4.41,clear sky
130,Kodiak,US,57.79,-152.4072,58.51,82,90,6.91,light rain
131,Gunjur,GM,13.2019,-16.7339,82.47,83,75,9.22,broken clouds
132,Lavrentiya,RU,65.5833,-171.0,52.75,94,100,3.18,moderate rain
133,Shenjiamen,CN,29.9576,122.298,79.32,91,23,8.08,few clouds
134,Sirpur,IN,19.4833,79.6,77.58,88,100,4.12,overcast clouds
135,Qaanaaq,GL,77.484,-69.3632,46.98,60,33,2.1,scattered clouds
136,Juneau,US,58.3019,-134.4197,65.84,84,75,3.0,light rain
137,Beidao,CN,34.5686,105.8933,62.53,74,100,2.28,overcast clouds
138,Taoudenni,ML,22.6783,-3.9836,109.09,9,5,9.89,clear sky
139,Koumac,NC,-20.5667,164.2833,67.12,68,84,13.49,broken clouds
140,Muros,ES,42.7762,-9.0603,66.24,87,91,5.21,overcast clouds
141,Thompson,CA,55.7435,-97.8558,64.56,42,75,10.36,smoke
