City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Segou,ML,2021-08-01 19:14:54,13.4317,-6.2157,83.73,61,100,10.47
1,Prince Rupert,CA,2021-08-01 19:14:54,54.3161,-130.3201,59.09,88,90,4.61
2,Mar Del Plata,AR,2021-08-01 19:14:55,-38.0023,-57.5575,54.09,29,20,3.0
3,Vaini,TO,2021-08-01 19:14:55,-21.2,-175.2,68.16,94,40,13.8
4,Nyurba,RU,2021-08-01 19:14:56,63.2842,118.3319,59.43,61,100,4.99
5,Lokosovo,RU,2021-08-01 19:14:56,61.1333,74.8167,59.05,73,100,6.78
6,Machilipatnam,IN,2021-08-01 19:14:57,16.1667,81.1333,85.89,57,99,10.47
7,Mataura,NZ,2021-08-01 19:14:57,-46.1927,168.8643,39.47,98,64,3.74
8,Cherskiy,RU,2021-08-01 19:14:57,68.75,161.3,35.17,90,96,18.48
9,Lamu,KE,2021-08-01 19:14:57,-2.2717,40.902,76.37,78,52,17.74
10,Busselton,AU,2021-08-01 19:14:58,-33.65,115.3333,52.56,76,100,8.21
11,West Point,US,2021-08-01 19:13:31,33.6076,-88.6503,88.11,77,1,3.44
12,Saskylakh,RU,2021-08-01 19:14:58,71.9167,114.0833,65.25,49,0,5.37
13,Bluff,NZ,2021-08-01 19:14:59,-46.6,168.3333,39.79,89,89,9.06
14,Mudigere,IN,2021-08-01 19:14:59,13.1333,75.6333,65.53,94,100,5.03
15,Coihueco,CL,2021-08-01 19:14:19,-36.6167,-71.8333,63.34,42,0,9.22
16,Tabriz,IR,2021-08-01 19:14:37,38.08,46.2919,63.86,82,75,16.11
17,Ushuaia,AR,2021-08-01 19:12:52,-54.8,-68.3,46.06,57,0,6.91
18,Sao Joao Da Barra,BR,2021-08-01 19:15:00,-21.6403,-41.0511,71.69,60,88,10.31
19,Zhob,PK,2021-08-01 19:15:00,31.3411,69.4481,85.55,35,2,0.63
20,Dikson,RU,2021-08-01 19:14:48,73.5069,80.5464,39.36,98,97,4.52
21,Quba,AZ,2021-08-01 19:15:01,41.3626,48.5152,70.43,49,26,5.66
22,Faanui,PF,2021-08-01 19:12:13,-16.4833,-151.75,76.95,72,86,15.14
23,Egvekinot,RU,2021-08-01 19:15:03,66.3167,-179.1667,40.39,68,49,1.57
24,Acajutla,SV,2021-08-01 19:15:04,13.5928,-89.8275,97.14,65,77,8.32
25,Aswan,EG,2021-08-01 19:15:04,24.0934,32.907,96.3,13,9,9.17
26,Puerto Leguizamo,CO,2021-08-01 19:15:04,-0.1934,-74.7819,72.1,80,100,2.08
27,Caravelas,BR,2021-08-01 19:15:05,-17.7125,-39.2481,71.13,55,100,9.78
28,Jamestown,US,2021-08-01 19:12:03,42.097,-79.2353,69.39,90,75,3.0
29,Te Anau,NZ,2021-08-01 19:14:28,-45.4167,167.7167,40.71,92,95,1.3
30,Katobu,ID,2021-08-01 19:15:05,-4.9408,122.5276,73.09,95,35,3.04
31,Souillac,MU,2021-08-01 19:15:06,-20.5167,57.5167,70.36,78,38,15.61
32,Aksehir,TR,2021-08-01 19:15:06,38.3575,31.4164,74.53,33,0,10.2
33,Sistranda,NO,2021-08-01 19:10:09,63.7256,8.834,52.9,75,100,11.21
34,Gamba,GA,2021-08-01 19:15:07,-2.65,10.0,74.23,84,100,7.27
35,Namatanai,PG,2021-08-01 19:11:19,-3.6667,152.4333,78.3,84,11,6.55
36,Yarada,IN,2021-08-01 19:15:07,17.65,83.2667,84.52,79,40,6.91
37,Aklavik,CA,2021-08-01 19:15:08,68.2191,-135.0107,82.31,31,100,10.96
38,Punta Arenas,CL,2021-08-01 19:15:08,-53.15,-70.9167,48.31,61,40,13.8
39,Rikitea,PF,2021-08-01 19:15:08,-23.1203,-134.9692,69.33,59,100,23.89
40,Doka,SD,2021-08-01 19:15:09,13.5167,35.7667,71.96,89,100,4.47
41,Hermanus,ZA,2021-08-01 19:12:01,-34.4187,19.2345,57.9,80,97,7.27
42,Simao,CN,2021-08-01 19:13:14,22.7886,100.9748,64.18,98,46,1.48
43,Kunszentmarton,HU,2021-08-01 19:15:09,46.8392,20.2888,77.13,54,34,11.03
44,East London,ZA,2021-08-01 19:15:10,-33.0153,27.9116,63.81,57,10,15.9
45,Kloulklubed,PW,2021-08-01 19:15:10,7.0419,134.2556,84.16,77,100,13.76
46,Neerijnen,NL,2021-08-01 19:15:10,51.8317,5.2819,63.25,80,57,7.29
47,Cabo San Lucas,MX,2021-08-01 19:14:37,22.8909,-109.9124,97.81,68,20,1.99
48,Svetlyy,RU,2021-08-01 19:12:27,54.675,20.1347,64.45,81,100,9.37
49,Bourail,NC,2021-08-01 19:15:11,-21.5667,165.4833,61.59,67,20,5.32
50,Hilo,US,2021-08-01 19:15:11,19.7297,-155.09,75.79,89,93,1.01
51,Shelburne,CA,2021-08-01 19:15:12,44.0787,-80.2041,69.76,61,92,10.4
52,Hithadhoo,MV,2021-08-01 19:14:54,-0.6,73.0833,81.45,71,97,5.3
53,Vao,NC,2021-08-01 19:15:12,-22.6667,167.4833,66.13,59,68,13.91
54,Temple,US,2021-08-01 19:10:16,31.0982,-97.3428,97.79,48,75,3.0
55,Kavieng,PG,2021-08-01 19:15:13,-2.5744,150.7967,81.41,75,2,8.3
56,Saint Anthony,US,2021-08-01 19:15:14,45.0205,-93.218,79.93,41,75,5.99
57,Norman Wells,CA,2021-08-01 19:15:14,65.282,-126.8329,86.22,30,0,3.11
58,Atuona,PF,2021-08-01 19:12:17,-9.8,-139.0333,76.69,72,54,13.24
59,Palauig,PH,2021-08-01 19:15:14,15.435,119.9045,81.43,87,100,13.73
60,Leningradskiy,RU,2021-08-01 19:15:15,69.3833,178.4167,35.83,96,100,16.37
61,San Jose,US,2021-08-01 19:12:22,37.3394,-121.895,85.77,51,20,3.44
62,Kiama,AU,2021-08-01 19:15:15,-34.6833,150.8667,45.25,91,2,3.94
63,Yellowknife,CA,2021-08-01 19:15:01,62.456,-114.3525,85.32,30,2,1.01
64,Sioux Lookout,CA,2021-08-01 19:15:16,50.1001,-91.917,76.39,31,38,7.67
65,Tuktoyaktuk,CA,2021-08-01 19:15:16,69.4541,-133.0374,61.61,62,100,19.35
66,Port Elizabeth,ZA,2021-08-01 19:11:59,-33.918,25.5701,59.29,77,40,25.32
67,Khatanga,RU,2021-08-01 19:15:17,71.9667,102.5,62.56,67,68,8.55
68,Albany,US,2021-08-01 19:14:42,42.6001,-73.9662,76.87,67,55,8.1
69,Taoudenni,ML,2021-08-01 19:15:17,22.6783,-3.9836,105.64,17,100,9.6
70,Srednekolymsk,RU,2021-08-01 19:15:18,67.45,153.6833,37.58,78,100,9.13
71,Nome,US,2021-08-01 19:15:18,64.5011,-165.4064,50.07,87,90,9.22
72,Nagua,DO,2021-08-01 19:15:18,19.3832,-69.8474,93.45,69,100,13.2
73,Iqaluit,CA,2021-08-01 19:15:19,63.7506,-68.5145,55.13,71,90,3.44
74,Yeppoon,AU,2021-08-01 19:15:19,-23.1333,150.7333,55.18,91,0,5.39
75,Doha,QA,2021-08-01 19:12:52,25.2867,51.5333,96.78,56,0,2.3
76,Castro,BR,2021-08-01 19:15:19,-24.7911,-50.0119,57.2,63,69,4.07
77,Cape Town,ZA,2021-08-01 19:13:31,-33.9258,18.4232,58.12,76,44,1.01
78,Gainesville,US,2021-08-01 19:11:56,29.6516,-82.3248,89.67,74,40,5.75
79,Horta,PT,2021-08-01 19:15:18,38.5333,-28.6333,73.04,94,75,14.97
80,Victoria,HK,2021-08-01 19:13:35,22.2855,114.1577,85.32,88,99,1.99
81,Butaritari,KI,2021-08-01 19:15:20,3.0707,172.7902,82.99,69,16,10.02
82,Bredasdorp,ZA,2021-08-01 19:15:21,-34.5322,20.0403,56.52,72,80,6.91
83,Honningsvag,NO,2021-08-01 19:15:21,70.9821,25.9704,44.35,93,75,12.66
84,Andenes,NO,2021-08-01 19:15:21,69.3143,16.1194,48.18,76,75,12.66
85,Airai,TL,2021-08-01 19:15:22,-8.9266,125.4092,55.78,85,28,2.77
86,Bethel,US,2021-08-01 19:12:35,41.3712,-73.414,77.47,71,75,10.36
87,Vila Franca Do Campo,PT,2021-08-01 19:15:22,37.7167,-25.4333,72.01,85,54,9.22
88,Avarua,CK,2021-08-01 19:15:22,-21.2078,-159.775,77.05,78,75,21.85
89,La Ciotat,FR,2021-08-01 19:15:23,43.1748,5.6045,78.82,63,100,18.25
90,Hobart,AU,2021-08-01 19:14:43,-42.8794,147.3294,38.05,87,11,1.99
91,Codrington,AU,2021-08-01 19:15:23,-38.2667,141.9667,43.34,89,0,14.2
92,Camacha,PT,2021-08-01 19:15:24,33.0833,-16.3333,70.56,68,40,16.11
93,Ponta Do Sol,PT,2021-08-01 19:15:24,32.6667,-17.1,75.7,73,3,4.85
94,Montague,US,2021-08-01 19:15:25,42.5356,-72.5351,80.51,67,98,1.01
95,Ust-Tsilma,RU,2021-08-01 19:15:25,65.441,52.1498,51.78,90,52,2.15
96,Los Llanos De Aridane,ES,2021-08-01 19:15:25,28.6585,-17.9182,69.55,68,20,19.57
97,Mahebourg,MU,2021-08-01 19:15:25,-20.4081,57.7,70.25,83,75,13.8
98,Kodiak,US,2021-08-01 19:15:26,57.79,-152.4072,60.31,82,90,6.91
99,Saint-Philippe,RE,2021-08-01 19:14:46,-21.3585,55.7679,69.35,75,43,11.83
100,Urdoma,RU,2021-08-01 19:15:26,61.7533,48.5442,56.97,91,77,4.68
101,Sosnovo-Ozerskoye,RU,2021-08-01 19:15:26,52.5249,111.5418,48.97,91,2,1.05
102,Arraial Do Cabo,BR,2021-08-01 19:15:27,-22.9661,-42.0278,67.86,68,20,16.11
103,Vanimo,PG,2021-08-01 19:14:53,-2.6741,141.3028,77.22,89,36,4.43
104,Barrow,US,2021-08-01 19:15:27,71.2906,-156.7887,50.02,85,90,19.57
105,Urucara,BR,2021-08-01 19:15:28,-2.5364,-57.76,89.47,47,96,3.47
106,Asau,RO,2021-08-01 19:15:28,46.4333,26.4,76.12,83,0,3.67
107,Tiarei,PF,2021-08-01 19:15:29,-17.5333,-149.3333,78.82,63,26,9.33
108,Kapaa,US,2021-08-01 19:11:50,22.0752,-159.319,80.92,80,75,4.0
